id,man,ypr,lat_e,long_e,elvt_e,fov_e,lat,long,elvt,fov,yaw,ptch,roll,path
1,1,-0.272811 0.243122 0.0148168,46.2173,10.1663,439.500000,0.549165,46.2173,10.1663,439.500000,0.549165,-0.272811,0.243122,0.0148168,
2,1,-0.0266129 0.0875383 -0.0133118,46.3463,6.84551,1407.000000,1.1531,46.3463,6.84551,1407.000000,1.1531,-0.0266129,0.0875383,-0.0133118,
3,1,-1.32929 -0.0745333 0.0259748,46.86,9.837,2246.500000,0.984675,46.860001,9.8369999,2246.500000,0.991172511232,-1.32929,-0.0745333,0.0259748,
4,1,-2.00974 -0.0324926 0.0323811,46.86,9.837,2246.500000,0.983756,46.860001,9.8369999,2246.500000,0.991172511232,-2.00974,-0.0324926,0.0323811,
5,1,-2.4636 -0.0151152 0.0308304,46.86,9.837,2246.500000,0.983893,46.860001,9.8369999,2246.500000,0.991172511232,-2.4636,-0.0151152,0.0308304,
6,1,-2.8523 -0.0294555 0.0428048,46.86,9.837,2246.500000,0.993818,46.860001,9.8369999,2246.500000,0.991172511232,-2.8523,-0.0294555,0.0428048,
7,0,1.24176 -0.0237761 0.0368128,46.422,7.402,1939.000000,0.643872,46.422,7.402,1939.000000,0.64387240922,1.24176,-0.0237761,0.0368128,
8,1,2.23204 0.307024 0.0295321,46.5296,9.19213,1620.500000,0.92434,46.5291,9.1908,1621.000000,0.939312783676,2.23204,0.307024,0.0295321,
9,0,2.6975 0.249273 0.0981745,46.5383,9.2327,1566.000000,0.939313,46.5383,9.2327,1566.000000,0.939312783676,2.6975,0.249273,0.0981745,
10,0,-2.09158 0.187911 0.0490837,46.5562,7.90146,855.500000,0.939313,46.5561,7.90143,856.000000,0.939312783676,-2.09158,0.187911,0.0490837,
11,1,-3.10115 0.665497 0.0290635,46.5561,7.90143,856.000000,0.911105,46.5561,7.90143,856.000000,0.939312783676,-3.10115,0.665497,0.0290635,
12,0,1.65132 0.396528 0.0122506,46.5561,7.90143,856.000000,0.939313,46.5561,7.90143,856.000000,0.939312783676,1.65132,0.396528,0.0122506,
13,1,3.05041 0.607828 0.0324442,46.5561,7.90143,856.000000,0.89045,46.5561,7.90143,856.000000,0.939312783676,3.05041,0.607828,0.0324442,
14,0,-0.352046 0.0866702 2.6203e-07,46.984,8.613,514.000000,0.939313,46.984001,8.6129999,514.000000,0.939312783676,-0.352046,0.0866702,2.6203E-07,
15,0,0.361252 0.0314471 0.012271,46.9841,8.6116,439.500000,0.939313,46.9841,8.6116,439.500000,0.939312783676,0.361252,0.0314471,0.012271,
16,0,0.666514 0.0805341 0.0245422,46.9841,8.6116,439.500000,0.939313,46.9841,8.6116,439.500000,0.939312783676,0.666514,0.0805341,0.0245422,
17,1,1.12811 0.269604 0.0335723,46.9768,8.61109,441.000000,0.912749,46.9768,8.6111,441.500000,0.939312783676,1.12811,0.269604,0.0335723,
18,0,1.83848 0.192513 0.0245428,46.886,8.62049,438.500000,0.939313,46.886002,8.6204996,438.500000,0.939312783676,1.83848,0.192513,0.0245428,
19,0,1.9658 0.172574 0.0122717,46.882,8.622,439.500000,0.939313,46.882,8.6219997,439.500000,0.939312783676,1.9658,0.172574,0.0122717,
20,1,2.51929 0.260942 0.028853,46.864,8.63399,452.000000,0.930701,46.863998,8.6339998,452.000000,0.939312783676,2.51929,0.260942,0.028853,
21,0,2.87391 0.445622 0.0613613,46.812,8.658,475.000000,0.939313,46.812,8.658,475.000000,0.939312783676,2.87391,0.445622,0.0613613,
22,0,3.05492 0.490107 0.0981738,46.802,8.66249,482.500000,0.939313,46.801998,8.6625004,482.500000,0.939312783676,3.05492,0.490107,0.0981738,
23,1,0.464902 0.37817 -0.0631934,46.719,8.616,804.000000,0.902861,46.719002,8.6160002,804.000000,0.939312783676,0.464902,0.37817,-0.0631934,
24,1,-1.15632 0.279698 0.00518125,46.6499,8.58634,1309.000000,0.916385,46.6511,8.5855,1301.000000,0.939312783676,-1.15632,0.279698,0.00518125,
25,1,-0.417914 0.322805 0.0724105,46.6377,8.59054,1429.500000,0.920239,46.6413,8.5921,1433.500000,0.939312783676,-0.417914,0.322805,0.0724105,
26,1,-0.5593 0.276914 0.0382478,46.6207,8.57135,1457.000000,0.936687,46.619999,8.5710001,1464.500000,0.939312783676,-0.5593,0.276914,0.0382478,
27,1,-0.112205 0.397713 0.00162525,46.6171,8.5625,1496.500000,0.938128,46.6171,8.5625,1496.500000,0.939312783676,-0.112205,0.397713,0.00162525,
28,0,1.64059 0.306031 0.122716,46.603,8.565,1651.500000,0.939313,46.603001,8.5649996,1651.500000,0.939312783676,1.64059,0.306031,0.122716,
29,1,1.72219 0.198814 0.0535439,46.5802,8.55879,1916.000000,0.886694,46.5802,8.5588,1916.500000,0.939312783676,1.72219,0.198814,0.0535439,
30,1,0.229004 0.139799 -0.0162141,46.5702,8.5607,2010.000000,0.913718,46.5741,8.5625,2055.000000,0.939312783676,0.229004,0.139799,-0.0162141,
31,1,-0.107912 0.212604 -0.0508488,46.5677,8.56023,2030.000000,0.862349,46.5713,8.5625,2069.500000,0.939312783676,-0.107912,0.212604,-0.0508488,
